budget,id,popularity,year,revenue,runtime,title,vote_average,vote_count
15000000,14,20.726578,1999,356296601,122,American Beauty,7.9,3438
79000000,72545,9.46307,2012,355692760,94,Journey 2: The Mysterious Island,5.8,1050
0,372058,34.461252,2016,355298270,106,Your Name.,8.5,1030
52000000,568,18.761467,1995,355237933,140,Apollo 13,7.3,1637
127500000,10567,9.998415,2000,354248063,82,Dinosaur,6.2,563
160000000,49538,0.738633,2011,353624124,132,X-Men: First Class,7.1,5252
49000000,402,16.628427,1992,352927224,127,Basic Instinct,6.5,869
58000000,710,14.686036,1995,352194034,130,GoldenEye,6.6,1194
52000000,640,19.833077,2002,352114312,141,Catch Me If You Can,7.7,3917
87000000,9740,2.48875,2001,351692268,131,Hannibal,6.4,1296
23000000,854,14.13488,1994,351583407,101,The Mask,6.6,2550
105000000,64682,17.598936,2013,351040419,143,The Great Gatsby,7.3,3885
30000000,1637,10.859292,1994,350448145,116,Speed,6.8,1814
175000000,260514,19.148182,2017,350170057,109,Cars 3,6.6,718
73000000,153518,11.171927,2016,349779543,97,The Angry Birds Movie,5.9,1048
127000000,181533,19.539436,2014,349424282,97,Night at the Museum: Secret of the Tomb,6.1,1893
70000000,73723,7.689395,2012,348840316,86,The Lorax,6.3,1048
34000000,198663,76.93789,2014,348319861,113,The Maze Runner,7,5540
100000000,2059,18.932203,2004,347451894,131,National Treasure,6.4,1974
105000000,77931,10.640864,2013,347434178,105,The Smurfs 2,5.5,711
90000000,5175,8.345985,2001,347325802,90,Rush Hour 2,6.4,1078
120000000,2048,14.43075,2004,347234916,115,I  Robot,6.7,3889
125000000,136799,16.83711,2016,346864462,92,Trolls,6.7,1054
85000000,47971,17.918269,2017,346147658,107,xXx: Return of Xander Cage,5.5,1497
55000000,10530,13.280069,1995,346079773,81,Pocahontas,6.7,1509
123000000,8871,11.642462,2000,345141403,104,How the Grinch Stole Christmas,6.2,1440
185000000,188927,20.659284,2016,343471816,122,Star Trek Beyond,6.6,2636
80000000,7518,9.382953,2006,343397247,83,Over the Hedge,6.3,1116
75000000,55301,8.066393,2011,342695435,87,Alvin and the Chipmunks: Chipwrecked,5.4,499
46000000,888,15.019586,1994,341631208,91,The Flintstones,5,559
85000000,4523,11.447798,2007,340487652,107,Enchanted,6.6,1512
110000000,53182,12.904677,2014,337580051,102,300: Rise of an Empire,6.1,2438
100000000,414,13.321354,1995,336529144,121,Batman Forever,5.2,1529
150000000,9543,18.459955,2010,335154643,116,Prince of Persia: The Sands of Time,6.2,2372
75000000,9802,13.249824,1996,335062621,136,The Rock,6.9,1474
90000000,291805,39.540653,2016,334901337,129,Now You See Me 2,6.7,3362
125000000,58574,18.695329,2011,334615000,129,Sherlock Holmes: A Game of Shadows,7,3971
150000000,4922,17.934821,2008,333932083,166,The Curious Case of Benjamin Button,7.3,3398
110000000,714,17.159576,1997,333011068,119,Tomorrow Never Dies,6,941
28000000,87,15.802306,1984,333000000,118,Indiana Jones and the Temple of Doom,7.1,2841
40000000,165,13.689855,1989,332000000,108,Back to the Future Part II,7.4,3926
150000000,311324,15.884744,2016,331957105,103,The Great Wall,5.8,1465
175000000,105864,12.319595,2015,331926147,93,The Good Dinosaur,6.6,1782
100000000,9738,19.382082,2005,330579719,106,Fantastic Four,5.5,3040
55000000,1597,14.178281,2000,330444045,108,Meet the Parents,6.6,1743
70000000,856,16.78596,1988,329803958,104,Who Framed Roger Rabbit,7.2,1466
5000000,9671,7.791212,1986,328203506,97,Crocodile Dundee,6.3,512
13000000,44214,12.989056,2010,327803731,108,Black Swan,7.3,4562
33000000,807,18.45743,1995,327311859,127,Se7en,8.1,5915
35000000,350,13.102384,2006,326551094,109,The Devil Wears Prada,7,3198
48000000,260346,18.081483,2014,325771424,109,Taken 3,6.1,2225
120000000,2133,18.911961,2000,325756637,130,The Perfect Storm,6.2,609
200000000,17979,12.869273,2009,325233863,96,A Christmas Carol,6.6,1137
130000000,38055,11.603905,2010,321887208,95,Megamind,6.7,1968
35000000,943,10.786007,1992,321731527,118,Lethal Weapon 3,6.4,824
22000000,424,41.725123,1993,321365567,195,Schindler's List,8.3,4436
54000000,11674,11.470748,1996,320689294,103,101 Dalmatians,5.6,722
40000000,259693,14.767317,2016,320170008,134,The Conjuring 2,7,2018
14000000,10998,14.260779,1987,320145693,119,Fatal Attraction,6.6,305
70000000,16869,16.89564,2009,319131050,153,Inglourious Basterds,7.9,6598
150000000,10196,9.544657,2010,318502923,103,The Last Airbender,4.7,1180
13000000,138843,14.90169,2013,318000141,112,The Conjuring,7.4,3169
40000000,18240,8.058337,2009,317375031,108,The Proposal,6.7,1858
15000000,90,8.503483,1984,316360478,105,Beverly Hills Cop,6.8,985
85000000,9772,12.173291,1997,315156409,124,Air Force One,6.2,859
150000000,9982,18.584609,2005,314432665,81,Chicken Little,5.6,974
